Product,Brand,PayMode,Amount
Smartwatch,Noise,Card,5500
TV,OnePlus,Card,222500
Headphones,boAt,Net Banking,30000
Camera,Panasonic,UPI,27500
Washing Machine,IFB,UPI,78500
Air Conditioner,Samsung,Net Banking,45000
Tablet,Realme,Wallet,80000
Camera,Panasonic,Card,15500
Headphones,Skullcandy,COD,23000
Washing Machine,Whirlpool,UPI,59500
Printer,Xerox,Card,16500
Laptop,Acer,UPI,76000
Mobile,Samsung,Card,57500
Washing Machine,Haier,Card,11000
Refrigerator,Whirlpool,Card,24000
Tablet,Lenovo,UPI,35000
Laptop,Acer,Card,189000
Camera,Canon,UPI,108000
Printer,Ricoh,UPI,7000
Laptop,HP,UPI,97500
Refrigerator,Whirlpool,EMI,56000
TV,OnePlus,Card,117000
Camera,Olympus,Wallet,86000
Air Conditioner,LG,UPI,96000
Mobile,Nokia,COD,24000
Refrigerator,Samsung,COD,58500
Tablet,OnePlus,UPI,87500
Camera,Canon,Net Banking,167000
Speaker,Sony,COD,8000
Headphones,Sony,UPI,21000
Printer,Epson,Net Banking,31500
Air Conditioner,Voltas,UPI,27000
Mobile,Realme,Wallet,119000
Mobile,Vivo,COD,110000
Headphones,Sennheiser,Cheque,11500
Printer,Xerox,UPI,20000
Printer,Ricoh,Card,16000
Smartwatch,Fossil,UPI,3500
Washing Machine,Samsung,UPI,28500
TV,Hisense,Card,84500
Headphones,JBL,Wallet,32500
Air Conditioner,Samsung,Card,61500
Washing Machine,IFB,COD,28000
Printer,Xerox,Card,15000
Smartwatch,Noise,UPI,36000
Laptop,Asus,UPI,160000
Mobile,Oppo,UPI,56000
Headphones,Bose,Card,14000
Smartwatch,Amazfit,UPI,52000
Tablet,OnePlus,UPI,88000
Tablet,Apple,Net Banking,59500
Mobile,OnePlus,Cheque,11500
Smartwatch,Apple,Card,19500
TV,Panasonic,Net Banking,116000
Refrigerator,Voltas,Card,45500
Headphones,Jabra,UPI,9000
Headphones,Apple,Net Banking,15500
Laptop,Asus,UPI,159500
Washing Machine,Whirlpool,Net Banking,39500
Speaker,Philips,UPI,25000
Smartwatch,Fossil,Card,16000
Headphones,Sennheiser,Card,24000
Smartwatch,Apple,UPI,30500
Washing Machine,Haier,Net Banking,60500
Headphones,boAt,UPI,27000
Refrigerator,LG,UPI,31000
Speaker,Philips,EMI,3000
Laptop,HP,UPI,136500
Headphones,Bose,Card,21000
Washing Machine,Haier,Card,69000
Mobile,Oppo,UPI,89000
Mobile,Xiaomi,COD,25500
Laptop,Dell,Net Banking,86000
TV,LG,Card,103000
Laptop,Asus,Wallet,35000
Tablet,Honor,Card,20000
Laptop,Samsung,Card,178000
Tablet,OnePlus,Net Banking,35000
Refrigerator,Godrej,COD,26000
Laptop,Asus,Net Banking,146500
Mobile,Vivo,UPI,56500
Printer,Canon,COD,33000
Speaker,Harman,UPI,24500
Speaker,Sony,UPI,9000
Refrigerator,Haier,UPI,18000
Washing Machine,Godrej,UPI,8000
Washing Machine,Whirlpool,Wallet,33000
Laptop,Samsung,Card,156500
Smartwatch,boAt,COD,41500
Printer,Brother,UPI,3000
Mobile,Realme,EMI,33000
Refrigerator,Whirlpool,UPI,63500
Printer,Canon,UPI,6500
Air Conditioner,Hitachi,Net Banking,46500
Headphones,Sony,UPI,29000
Washing Machine,IFB,Net Banking,25000
Smartwatch,Noise,Card,37000
Smartwatch,Samsung,COD,6000
Speaker,Philips,EMI,4000
Air Conditioner,LG,Wallet,94500
Tablet,Huawei,UPI,46500
Air Conditioner,LG,UPI,30500
Refrigerator,Panasonic,COD,83000
TV,Samsung,Cheque,183000
Laptop,Asus,COD,182500
Headphones,JBL,Net Banking,30500
Tablet,Apple,UPI,35500
TV,OnePlus,Card,57000
Laptop,Dell,UPI,90000
Printer,Canon,Wallet,39000
TV,LG,Net Banking,64500
Air Conditioner,Blue Star,Card,56000
Tablet,Honor,UPI,62000
TV,OnePlus,UPI,46500
Speaker,Bose,Card,16500
Speaker,Philips,COD,4500
Camera,Nikon,Card,79000
Washing Machine,Haier,Card,41000
Refrigerator,Haier,COD,117500
Air Conditioner,Hitachi,UPI,47000
Air Conditioner,Haier,Card,38000
Camera,Leica,UPI,11500
TV,Hisense,Net Banking,94000
Mobile,Realme,UPI,100000
Camera,Leica,UPI,34500
Mobile,Apple,EMI,97500
Washing Machine,Samsung,UPI,52500
Camera,Panasonic,UPI,88500
Printer,Epson,Card,3000
Smartwatch,Fitbit,EMI,11000
TV,Hisense,EMI,235500
Refrigerator,Bosch,EMI,34000
Refrigerator,Whirlpool,COD,107000
TV,Panasonic,Card,208500
Speaker,Harman,Wallet,5000
Speaker,JBL,UPI,24500
Headphones,Sony,UPI,7000
Refrigerator,LG,COD,98500
Printer,Samsung,UPI,36000
Tablet,OnePlus,EMI,64500
Washing Machine,Panasonic,COD,78000
Refrigerator,Voltas,UPI,66500
Smartwatch,Apple,UPI,52500
Laptop,Acer,COD,49500
Printer,Xerox,Cheque,9000
Mobile,Xiaomi,EMI,85000
Smartwatch,Noise,Card,48500
TV,Hisense,Net Banking,83500
Washing Machine,Whirlpool,Card,20000
Mobile,Apple,UPI,57000
Printer,Brother,UPI,21500
Speaker,Marshall,Cheque,12500
Smartwatch,Amazfit,Net Banking,11500
Mobile,OnePlus,EMI,53000
TV,Sony,UPI,160000
Refrigerator,Haier,Card,78500
Air Conditioner,Hitachi,UPI,98500
Washing Machine,Bosch,UPI,58500
Air Conditioner,Hitachi,Card,49500
Refrigerator,Samsung,EMI,55500
Printer,Ricoh,Card,7000
Printer,Samsung,Card,9000
Air Conditioner,Daikin,COD,58000
Printer,Brother,UPI,21000
Tablet,Xiaomi,UPI,16500
Laptop,Dell,EMI,61000
Smartwatch,Apple,EMI,10500
Headphones,Sennheiser,Net Banking,21500
Air Conditioner,Daikin,Card,73000
Tablet,Apple,Card,13500
Headphones,Jabra,UPI,9000
Printer,Xerox,UPI,26500
Washing Machine,LG,UPI,70500
Printer,Brother,Net Banking,24000
Air Conditioner,Voltas,EMI,85500
Air Conditioner,Samsung,EMI,25000
Headphones,Sennheiser,COD,21500
Speaker,Sony,COD,3000
Refrigerator,Samsung,EMI,81000
Smartwatch,Noise,Card,21000
Headphones,Sony,UPI,25500
Mobile,Nokia,Card,64500
Printer,Xerox,Card,5000
Printer,Ricoh,Card,10500
Printer,Xerox,EMI,6500
Smartwatch,Amazfit,Net Banking,45500
Camera,Leica,Card,130000
Laptop,Dell,EMI,148000
Headphones,Apple,UPI,10500
Camera,Olympus,EMI,8500
